Running for FP6
Threshold for Lidar outliers = 0.1m.
Img Id, Detector, Descriptor, Matcher, Selector, TTCCamera, TTCLidar
Image 12,BRISK,SIFT,MAT_BF,SEL_KNN,11.8875,10.1
Image 13,BRISK,SIFT,MAT_BF,SEL_KNN,11.9443,9.22307
Image 14,BRISK,SIFT,MAT_BF,SEL_KNN,10.9739,10.9678
Image 15,BRISK,SIFT,MAT_BF,SEL_KNN,10.8461,8.09422
Image 16,BRISK,SIFT,MAT_BF,SEL_KNN,10.7937,8.81392
Image 17,BRISK,SIFT,MAT_BF,SEL_KNN,8.48789,10.2926
Image 18,BRISK,SIFT,MAT_BF,SEL_KNN,11.8198,8.30978
Image 1,BRISK,BRISK,MAT_BF,SEL_KNN,12.5716,12.5604
Image 2,BRISK,BRISK,MAT_BF,SEL_KNN,17.8972,12.6628
Image 3,BRISK,BRISK,MAT_BF,SEL_KNN,12.117,16.2563
Image 4,BRISK,BRISK,MAT_BF,SEL_KNN,15.2785,13.834
Image 5,BRISK,BRISK,MAT_BF,SEL_KNN,16.928,13.0305
Image 6,BRISK,BRISK,MAT_BF,SEL_KNN,12.8574,13.3877
Image 7,BRISK,BRISK,MAT_BF,SEL_KNN,11.6192,13.2877
Image 8,BRISK,BRISK,MAT_BF,SEL_KNN,14.1015,13.671
Image 9,BRISK,BRISK,MAT_BF,SEL_KNN,14.4773,14.6431
Image 10,BRISK,BRISK,MAT_BF,SEL_KNN,11.3479,9.85736
Image 11,BRISK,BRISK,MAT_BF,SEL_KNN,11.3013,14.9877
Image 12,BRISK,BRISK,MAT_BF,SEL_KNN,10.7051,10.1
Image 13,BRISK,BRISK,MAT_BF,SEL_KNN,12.6498,9.22307
Image 14,BRISK,BRISK,MAT_BF,SEL_KNN,11.2285,10.9678
Image 15,BRISK,BRISK,MAT_BF,SEL_KNN,10.6761,8.09422
Image 16,BRISK,BRISK,MAT_BF,SEL_KNN,10.6382,8.81392
Image 17,BRISK,BRISK,MAT_BF,SEL_KNN,10.3064,10.2926
Image 18,BRISK,BRISK,MAT_BF,SEL_KNN,11.7355,8.30978
Image 1,BRISK,FREAK,MAT_BF,SEL_KNN,13.7021,12.5604
Image 2,BRISK,FREAK,MAT_BF,SEL_KNN,16.5338,12.6628
Image 3,BRISK,FREAK,MAT_BF,SEL_KNN,14.5025,16.2563
Image 4,BRISK,FREAK,MAT_BF,SEL_KNN,14.1265,13.834
Image 5,BRISK,FREAK,MAT_BF,SEL_KNN,14.4807,13.0305
Image 6,BRISK,FREAK,MAT_BF,SEL_KNN,16.602,13.3877
Image 7,BRISK,FREAK,MAT_BF,SEL_KNN,13.3262,13.2877
Image 8,BRISK,FREAK,MAT_BF,SEL_KNN,14.6472,13.671
Image 9,BRISK,FREAK,MAT_BF,SEL_KNN,16.3916,14.6431
Image 10,BRISK,FREAK,MAT_BF,SEL_KNN,13.4647,9.85736
Image 11,BRISK,FREAK,MAT_BF,SEL_KNN,12.1644,14.9877
Image 12,BRISK,FREAK,MAT_BF,SEL_KNN,10.3709,10.1
